latitude,longitude,room_type,price,zipcode,zcta_housing_2020,total_units_2020,occupied_units_2020,vacant_units_2020,median_rooms_2020,owner_occupied_units_2020,rental_occupied_units_2020,median_value_2020,median_monthly_costs_2020,median_rent_2020,five_year_diff,total_units_2015,occupied_units_2015,vacant_units_2015,median_rooms_2015,owner_occupied_units_2015,rental_occupied_units_2015,median_value_2015,median_monthly_costs_2015,median_rent_2015,median_household_income_2020,median_family_income_2020,median_household_income_2015,median_family_income_2015,zipcount,class
40.00939,-82.99704,0,51,43202,43202,9725,8889.0,836,4.9,2712,6177,246800.0,1613.0,976,70000.0,10551.0,9707.0,844.0,5.1,3205.0,6502.0,176800.0,1449.0,851.0,56332.0,80461.0,45152.0,72263.0,174.0,2
40.00843,-82.99905,0,84,43201,43201,15281,13106.0,2175,4.4,2215,10891,258900.0,1747.0,1094,55200.0,15115.0,11508.0,3607.0,4.6,2080.0,9428.0,203700.0,1554.0,858.0,34884.0,47014.0,25322.0,51458.0,434.0,2
39.96939,-82.96472,0,36,43203,43203,4894,3758.0,1136,5.2,1224,2534,188900.0,1149.0,744,102500.0,4912.0,3429.0,1483.0,5.0,822.0,2607.0,86400.0,1200.0,623.0,36418.0,35137.0,20904.0,20208.0,79.0,0
40.039116,-83.032127,1,110,43214,43214,13806,12682.0,1124,5.6,8097,4585,285800.0,1730.0,998,74600.0,13162.0,12323.0,839.0,5.8,7878.0,4445.0,211200.0,1575.0,823.0,76831.0,101544.0,65288.0,92175.0,59.0,1
40.01115,-82.99838,0,45,43202,43202,9725,8889.0,836,4.9,2712,6177,246800.0,1613.0,976,70000.0,10551.0,9707.0,844.0,5.1,3205.0,6502.0,176800.0,1449.0,851.0,56332.0,80461.0,45152.0,72263.0,174.0,2
40.10171,-82.98133,0,40,43229,43229,22593,21343.0,1250,5.0,8495,12848,143000.0,1232.0,879,23000.0,22243.0,20011.0,2232.0,5.1,8149.0,11862.0,120000.0,1201.0,763.0,44804.0,51324.0,38004.0,45185.0,40.0,0
40.01891,-82.99861,1,212,43202,43202,9725,8889.0,836,4.9,2712,6177,246800.0,1613.0,976,70000.0,10551.0,9707.0,844.0,5.1,3205.0,6502.0,176800.0,1449.0,851.0,56332.0,80461.0,45152.0,72263.0,174.0,2
39.98459,-83.00228,1,127,43201,43201,15281,13106.0,2175,4.4,2215,10891,258900.0,1747.0,1094,55200.0,15115.0,11508.0,3607.0,4.6,2080.0,9428.0,203700.0,1554.0,858.0,34884.0,47014.0,25322.0,51458.0,434.0,2
39.98811,-83.01074,1,54,43201,43201,15281,13106.0,2175,4.4,2215,10891,258900.0,1747.0,1094,55200.0,15115.0,11508.0,3607.0,4.6,2080.0,9428.0,203700.0,1554.0,858.0,34884.0,47014.0,25322.0,51458.0,434.0,2
39.98938,-82.83676,0,70,43213,43213,15451,14163.0,1288,4.8,5289,8874,125600.0,1135.0,872,27900.0,15665.0,13916.0,1749.0,4.8,4688.0,9228.0,97700.0,1112.0,771.0,43989.0,52344.0,34610.0,37801.0,28.0,0
